Place,Code,Country,Admin1,Admin2,Admin3,
72,San Agustín,51675,Mexico,México,Texcaltitlán,
,   18.942/-99.939,,,,,
73,Llano Grande,51676,Mexico,México,Texcaltitlán,
,   18.962/-99.893,,,,,
74,Santa María,51676,Mexico,México,Texcaltitlán,
,   18.929/-99.926,,,,,
75,Texcapilla,51676,Mexico,México,Texcaltitlán,
,   18.946/-99.895,,,,,
76,Nueva Santa María,51676,Mexico,México,Texcaltitlán,
,   18.933/-99.908,,,,,
77,Las Lágrimas,51680,Mexico,México,Texcaltitlán,
,   18.94/-99.939,,,,,
78,San Miguel,51690,Mexico,México,Texcaltitlán,
,   18.93/-99.95,,,,,
79,Acatitlán,51693,Mexico,México,Texcaltitlán,
,   18.923/-99.95,,,,,
80,Yuytepec,51693,Mexico,México,Texcaltitlán,
,   18.913/-99.963,,,,,
81,Jesús del Monte,51693,Mexico,México,Texcaltitlán,
,   18.914/-99.942,,,,,
82,Agua del Trebol,51694,Mexico,México,Texcaltitlán,
,   18.926/-99.978,,,,,
83,Las Paredes,51694,Mexico,México,Texcaltitlán,
,   18.914/-99.982,,,,,
84,Rastrojo Largo,51695,Mexico,México,Texcaltitlán,
,   18.896/-99.955,,,,,
85,Noxtepec,51695,Mexico,México,Texcaltitlán,
,   18.877/-100.002,,,,,
86,Carbajal,51695,Mexico,México,Texcaltitlán,
,   18.873/-99.999,,,,,
87,Huayatenco,51695,Mexico,México,Texcaltitlán,
,   18.889/-99.968,,,,,
88,Chiquintepec,51696,Mexico,México,Texcaltitlán,
,   18.906/-99.962,,,,,
89,San Francisco,51697,Mexico,México,Texcaltitlán,
,   18.908/-99.929,,,,,
90,Arroyo Seco,51697,Mexico,México,Texcaltitlán,
,   18.915/-99.928,,,,,
91,Primera de San Miguel (La Punta),51700,Mexico,México,Coatepec Harinas,
,   18.89/-99.707,,,,,
92,Coatepec Harinas,51700,Mexico,México,Coatepec Harinas,
,   18.89/-99.707,,,,,
93,Santiaguito,51703,Mexico,México,Coatepec Harinas,
,   18.946/-99.798,,,,,
94,Segunda de San Miguel (El Cerrito),51704,Mexico,México,Coatepec Harinas,
,   18.907/-99.766,,,,,
95,Primera de Zacanguillo (Santo Niño Doctor),51705,Mexico,México,Coatepec Harinas,
,   18.918/-99.76,,,,,
96,Guadalupe,51713,Mexico,México,Coatepec Harinas,
,   18.897/-99.772,,,,,
97,Cochisquila,51714,Mexico,México,Coatepec Harinas,
,   18.914/-99.751,,,,,
98,Cuentla,51714,Mexico,México,Coatepec Harinas,
,   18.918/-99.744,,,,,
99,Plan de San Francisco,51714,Mexico,México,Coatepec Harinas,
,   18.902/-99.728,,,,,
100,Primera de Analco,51715,Mexico,México,Coatepec Harinas,
,   18.902/-99.776,,,,,
101,El Potrero,51716,Mexico,México,Coatepec Harinas,
,   18.894/-99.796,,,,,
102,Acuitlapilco,51716,Mexico,México,Coatepec Harinas,
,   18.909/-99.785,,,,,
103,Loma de Acuitlapilco,51720,Mexico,México,Coatepec Harinas,
,   18.94/-99.786,,,,,
104,San José del Progreso (San José),51720,Mexico,México,Coatepec Harinas,
,   18.934/-99.792,,,,,
105,Santo Niño,51720,Mexico,México,Coatepec Harinas,
,   18.922/-99.783,,,,,
106,Zacatones,51720,Mexico,México,Coatepec Harinas,
,   18.966/-99.785,,,,,
107,San Martín el Salto,51720,Mexico,México,Coatepec Harinas,
,   18.949/-99.803,,,,,
108,Agua Bendita,51723,Mexico,México,Coatepec Harinas,
,   18.987/-99.852,,,,,
109,El Picacho,51723,Mexico,México,Coatepec Harinas,
,   18.969/-99.848,,,,,
110,Las Trojes,51723,Mexico,México,Coatepec Harinas,
,   18.974/-99.835,,,,,
111,El Telar,51723,Mexico,México,Coatepec Harinas,
,   19.001/-99.827,,,,,
112,Potrero Redondo,51723,Mexico,México,Coatepec Harinas,
,   19.021/-99.814,,,,,
113,La Conchita,51723,Mexico,México,Coatepec Harinas,
,   18.992/-99.837,,,,,
114,La Providencia,51723,Mexico,México,Coatepec Harinas,
,   18.965/-99.833,,,,,
115,Segunda de Santa Ana,51724,Mexico,México,Coatepec Harinas,
,   18.943/-99.775,,,,,
116,Segunda del Monte (La Presa),51724,Mexico,México,Coatepec Harinas,
,   18.943/-99.775,,,,,
117,Segunda de Zacanguillo,51724,Mexico,México,Coatepec Harinas,
,   18.949/-99.776,,,,,
118,Segunda de Analco,51724,Mexico,México,Coatepec Harinas,
,   18.926/-99.775,,,,,
119,Primera del Monte (La Presa),51724,Mexico,México,Coatepec Harinas,
,   18.958/-99.778,,,,,
120,Primera de Santa Ana,51724,Mexico,México,Coatepec Harinas,
,   18.938/-99.768,,,,,
121,Las Jaras,51725,Mexico,México,Coatepec Harinas,
,   19.049/-99.801,,,,,
122,Agua Amarga,51726,Mexico,México,Coatepec Harinas,
,   18.963/-99.752,,,,,
123,San Fernando,51726,Mexico,México,Coatepec Harinas,
,   18.966/-99.759,,,,,
124,Los Fresnos,51726,Mexico,México,Coatepec Harinas,
,   18.984/-99.755,,,,,
125,La Javiela,51727,Mexico,México,Coatepec Harinas,
,   18.986/-99.792,,,,,
126,El Potrerito,51727,Mexico,México,Coatepec Harinas,
,   18.972/-99.772,,,,,
127,Teocotitla,51727,Mexico,México,Coatepec Harinas,
,   19.006/-99.788,,,,,
128,Tecolotepec,51727,Mexico,México,Coatepec Harinas,
,   18.979/-99.792,,,,,
129,Capulín Redondo,51727,Mexico,México,Coatepec Harinas,
,   18.971/-99.802,,,,,
130,La Rosa,51727,Mexico,México,Coatepec Harinas,
,   19.004/-99.8,,,,,
